Student,LPIPS,SSIM
113590008.png,0.0,1.0
112590058.jpg,0.3549913763999939,0.41654959127220115
113590018.png,0.3639850914478302,0.5113011447092203
113590049.png,0.38342005014419556,0.45726917929511657
113590062.png,0.3928791284561157,0.43529353259534714
113590023.png,0.41045811772346497,0.38781968113043797
113590036.png,0.4206043481826782,0.4113511243002008
112590452.png,0.42558780312538147,0.4769647516731339
112590040.png,0.4294222593307495,0.45738970040490134
113590059.png,0.43338990211486816,0.4509658895786092
113590006.png,0.44096195697784424,0.45347981852376157
113590028.png,0.4430782198905945,0.46778126533870373
113AB0018.png,0.4436277747154236,0.477197097289507
113590045.png,0.4469657838344574,0.42928465301972113
113590050.png,0.45015639066696167,0.4433715478282306
113590011.png,0.4582311809062958,0.4402922906649305
113590044.png,0.4704098701477051,0.45780832074594285
113590015.png,0.47553426027297974,0.4820760564382142
112590454.png,0.47701898217201233,0.4485840396389595
112590455.png,0.4822244644165039,0.49683850636727567
113590002.png,0.4888541102409363,0.469765244342135
110590455.png,0.4908984303474426,0.4576988746928716
113590061.png,0.49131160974502563,0.46031544188804757
113590052.png,0.4927341938018799,0.4564603758836288
114054809.png,0.4950341582298279,0.46997730924794234
113590001.png,0.4960189461708069,0.4741254897497382
113590056.png,0.4975287616252899,0.47932762653008953
113AC1012.png,0.49769163131713867,0.45219409537351685
113590057.png,0.5066623091697693,0.4201413441857153
113370239.png,0.5067362785339355,0.5057089744871993
113590031.png,0.5072643756866455,0.4767873470548039
113590021.png,0.5094748139381409,0.43712591659137534
113590042.png,0.510161817073822,0.39775936674049256
111590047.png,0.5179768204689026,0.4842765324753507
113590051.png,0.5187422633171082,0.4824465970266762
113590026.png,0.5254848599433899,0.4785602516167089
113590060.png,0.5274430513381958,0.4731868031362567
111590062.png,0.529578685760498,0.4526304538057324
113590039.png,0.5324275493621826,0.4815359735378924
113590003.png,0.5344151258468628,0.4715596527227356
111590455.png,0.5351091027259827,0.3903761433123987
113590022.png,0.5364671945571899,0.464717791809774
111590028.png,0.5417389869689941,0.4714818458881428
113590010.png,0.577147364616394,0.4136311152841581
113590004.png,0.5958153009414673,0.491611378072459
113590047.png,0.6015774011611938,0.49134045126169
113590043.png,0.61624675989151,0.4949552705000463
113590025.png,0.6238049268722534,0.4904664145254475
111590042.png,0.6403052806854248,0.49229466432318914
